line_cd,company_cd,line_name,line_name_k,line_name_h,line_color_c,line_color_t,line_type,lon,lat,zoom,e_status,e_sort
11101,1,JR函館本線(函館〜長万部),ハコダテホンセン,JR函館本線(函館〜長万部),,,,140.4833696755387,42.23981411231523,9,0,11101
11102,1,JR函館本線(長万部〜小樽),ハコダテホンセン,JR函館本線(長万部〜小樽),,,,140.64288780797756,42.919910231257624,9,0,11102
11103,1,JR函館本線(小樽〜旭川),ハコダテホンセン,JR函館本線(小樽〜旭川),,,,141.69791081566132,43.41509739716935,9,0,11103
1004,2,東北新幹線,トウホクシンカンセン,東北新幹線,,,,140.76319219429,38.27426693928412,7,0,1004
1005,2,上越新幹線,ジョウエツシンカンセン,上越新幹線,,,,139.12148795051746,36.798564726932156,8,0,1005
1006,2,上越新幹線(ガーラ湯沢支線),ジョウエツシンカンセン,上越新幹線(ガーラ湯沢支線),,,,138.80325037829584,36.9428821124426,14,0,1006
1001,3,中央新幹線,チュウオウシンカンセン,中央新幹線,,,,137.493896484375,35.411438052435486,8,1,1001
1002,3,東海道新幹線,トウカイドウシンカンセン,東海道新幹線,,,,137.72148868198997,35.144121935482794,7,0,1002
1003,4,山陽新幹線,サンヨウシンカンセン,山陽新幹線,,,,133.14789611677998,34.41933769953404,7,0,1003
11612,4,JR山陽本線(岩国〜門司),サンヨウホンセン,JR山陽本線(岩国〜門司),,,,131.60634280321005,34.07166445090378,9,0,11612
11613,4,JR山陽本線(兵庫〜和田岬),サンヨウホンセン,JR山陽本線(兵庫〜和田岬),,,,135.16794204760743,34.66577551629847,14,0,11613
11614,4,嵯峨野線,サガノセン,JR山陰本線(京都〜園部),,,,135.6041556643263,35.053071042585806,11,0,11614
11804,5,JR牟岐線,ムギセン,JR牟岐線,,,,134.50842286054694,33.839964753816716,10,0,11804
11805,5,JR鳴門線,ナルトセン,JR鳴門線,,,,134.5684284179688,34.16377798184309,13,0,11805
11927,6,JR宮崎空港線,ミヤザキクウコウセン,JR宮崎空港線,,,,131.4327622910156,31.895343146073063,13,0,11927
11928,6,JR日南線,ニチナンセン,JR日南線,,,,131.36265390204346,31.683576551144153,10,0,11928
11929,6,えびの高原線,エビノハラコウゲンセン,JR吉都線,,,,130.95640168416935,31.917243912644583,10,0,11929
11930,6,JR指宿枕崎線,イブスキマクラザキセン,JR指宿枕崎線,,,,130.50341089279618,31.359999553777016,10,0,11930